,renda mensal per capita,freezer,V2103,V2105,V2107,V2109,deixou de ter alimentos saudaveis,nao comeu suficiente,diminiui quantidade de alimento,deixou de fazer refeicao,sentiu fome,menos de uma refeicao/dia
10,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53,0.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
61,1.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
80,3.0,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
91,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
93,3.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
94,99.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
95,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
106,0.0,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
107,3.0,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
123,3.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
125,2.0,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
128,3.0,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
129,1.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
135,1.0,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
140,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
143,3.0,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
167,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
170,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
177,4.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
184,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
216,1.0,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
227,3.0,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
229,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
279,3.0,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não
284,1.0,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não
295,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
301,1.0,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim
322,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
328,1.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
341,1.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
362,3.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
363,1.0,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
365,0.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
379,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
394,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
397,2.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
