,renda mensal per capita,seguranca alimentar,freezer,V2103,V2105,V2107,V2109,deixou de ter alimentos saudaveis,nao comeu suficiente,diminiui quantidade de alimento,deixou de fazer refeicao,sentiu fome,menos de uma refeicao/dia,recebeu ajuda em alimentos
2,2.0,3.0,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
8,1.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
10,1.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
19,1.0,4.0,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
29,1.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
30,2.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
31,3.0,2.0,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
33,4.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim
45,1.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
65,3.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
68,3.0,2.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
70,1.0,3.0,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não
81,2.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
86,4.0,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
93,3.0,2.0,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
100,3.0,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
126,3.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
142,3.0,4.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
146,1.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
150,2.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
152,1.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
153,1.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
156,3.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
176,3.0,2.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
197,4.0,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
201,3.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
219,5.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
229,4.0,2.0,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
240,3.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
244,3.0,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
246,2.0,2.0,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
257,1.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
258,3.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
269,1.0,2.0,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Sim
270,2.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
272,4.0,2.0,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
273,3.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
288,1.0,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
289,6.0,2.0,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
290,3.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
294,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
295,1.0,2.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
297,2.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
300,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
307,3.0,3.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
316,3.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
320,3.0,3.0,Não,Sim,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
324,2.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
329,3.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
331,2.0,2.0,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
333,2.0,3.0,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim
336,1.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
337,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
341,1.0,3.0,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
342,2.0,2.0,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
346,1.0,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
348,4.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
350,1.0,2.0,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
352,2.0,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim
357,5.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
358,1.0,2.0,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
360,3.0,2.0,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
362,3.0,2.0,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
367,4.0,2.0,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
368,1.0,2.0,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
369,2.0,2.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
370,3.0,2.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
371,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
372,1.0,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
373,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim
380,4.0,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
388,3.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
396,4.0,2.0,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
